geo_id,total_pop,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,median_income
40149965400,1689,1451,2,0,156,27,49196
17031381200,1724,63,1487,0,14,67,27828
36063024202,2622,2541,4,2,25,30,60375
21107970800,2784,2242,292,39,26,155,49940
40049681800,3045,2616,7,0,105,161,42554
21177960300,3976,3933,0,0,0,28,43832
37083930800,5375,589,2647,53,175,1598,29960
53053071100,2372,1898,7,118,200,28,60000
45033970300,5097,2654,1854,0,108,102,46314
39123050500,3122,2647,226,0,110,61,40568
02198000100,2284,1241,10,19,65,712,46411
35031945200,6487,700,75,64,2391,3115,38640
06039000201,8460,2621,1311,243,3821,171,42292
01053969900,3813,3272,223,0,225,55,44150
02198000200,2540,1464,14,35,63,652,63462
35061970901,4962,1240,0,7,3398,225,34909
35015000401,3394,1924,0,0,1407,63,62266
41047010305,4803,1669,66,20,2950,66,50580
36067001701,2318,1050,279,47,216,88,46589
29119070100,6304,5763,16,38,77,275,40078
37131920200,3890,1496,2118,21,86,31,34392
37081011200,5997,558,4917,55,204,54,25865
24003750900,3058,2331,141,124,295,45,56063
32003002204,4598,438,353,125,3402,77,31136
06073018519,5707,1140,298,140,3719,105,57554
23003952400,3635,3196,8,16,25,344,31289
23003951400,2012,1832,0,0,46,34,39665
05087960300,5200,4784,0,0,199,116,38980
27007450400,2793,2463,13,0,53,127,49773
41019180000,4265,3923,14,0,94,87,51190
36119003200,2387,16,1921,0,281,39,48917
53061052903,4539,3133,50,190,875,69,43977
36003951200,4656,4509,7,28,35,39,46481
53077001800,6974,1962,0,39,4768,183,49987
37085070402,6963,4585,1157,0,1042,49,41269
29097010100,3608,2677,232,33,421,122,32817
01029959700,3709,3219,86,0,262,39,43555
40143009004,5635,1587,698,110,2804,160,34565
05023480100,4324,4141,0,0,96,36,45582
53033029203,4244,1605,490,380,1137,69,39835
22071001737,3478,94,3206,0,45,42,23750
31055000500,2716,1566,437,55,456,28,55444
46102940900,4892,298,0,0,291,4151,33194
53063003900,2074,1749,9,21,125,33,45855
47069950400,5214,2139,2970,3,1,41,39497
38095951500,2246,2004,0,12,56,79,53696
37133002202,4340,1929,966,67,945,34,38472
36081052200,1758,0,1578,49,61,70,88889
30017961600,2421,2110,8,8,125,81,64085
05083950200,3634,3145,150,148,49,112,43911
27137001200,1759,1506,55,31,65,53,34875
40045952600,2767,2334,0,29,261,57,50655
41001950600,1964,1800,6,14,67,27,42697
41035971700,2953,2520,1,36,183,114,30281
29149480200,4448,4141,5,16,87,86,30341
48379950200,5006,4159,170,8,489,63,46442
29195090200,2396,2148,51,0,62,81,59028
46129965100,1902,1733,18,0,70,40,58456
36067006000,3875,1972,1481,0,270,38,47694
06065046500,8754,1606,774,2582,3139,28,22102
36081017000,2665,45,583,1057,288,130,64000
06031000900,8139,2685,548,49,4743,51,36944
37121950100,2539,2442,0,0,7,38,43068
53003960500,3471,3202,0,43,63,44,41849
40133583400,4378,2819,216,27,268,995,39766
36017970200,4302,4070,31,0,90,52,47075
26151970900,4720,4361,69,46,121,32,39712
38021973400,1264,1157,24,10,29,32,47171
41039000702,2537,2245,0,38,120,34,51512
13049010100,9877,5090,3224,65,1082,196,37423
40073958200,2315,1869,28,0,322,52,72545
36047039600,2038,1617,0,57,120,105,49026
53005010500,3270,2323,22,106,729,27,60655
01045021400,5383,3608,1312,16,129,53,34271
32003007500,3829,1657,1095,95,713,112,88889
36005026300,6015,550,957,0,4265,181,23750
40097040700,3633,2481,51,12,131,524,40439
04005945200,4499,87,7,0,72,4279,51012
29119070200,4414,4010,13,90,143,117,48651
40049681400,5178,3664,137,0,819,164,44792
12061050401,3528,2474,525,32,400,36,26416
01109188800,2423,1789,521,0,30,49,56912
16045960200,5679,4922,0,60,451,52,38775
40041375900,4249,2575,26,105,105,1067,30240
53053072901,3265,1620,264,200,919,46,55363
27137010100,2809,2612,7,21,113,33,55606
47145030800,5844,5174,339,10,108,56,31266
18095001900,5275,4423,375,148,164,55,35642
24005450200,3210,2861,152,0,161,36,62136
06039000300,8520,2756,50,26,5377,157,42765
48439110703,5646,3367,169,120,1830,39,54792
06099002702,7348,1502,233,497,5052,29,50000
05123960200,5852,3818,1783,0,209,36,39013
20177003100,5267,2505,960,0,1324,154,36705
16017950100,2030,1938,0,8,9,35,34919
12099005203,2189,1114,311,179,516,36,34731
36063022300,2482,2059,96,79,69,33,50781
08001008308,5545,1439,940,574,2447,121,41619
48233950500,5165,4144,22,17,647,136,55270
08059010902,2614,1941,72,24,492,85,45774
12005000201,5006,4637,0,54,73,145,61699
55067960600,4753,4106,126,11,217,64,38427
48027021000,4330,1600,884,91,1650,29,31831
06107004500,6290,1092,10,0,5127,41,33000
48251131100,5665,3592,196,71,1765,41,50451
55115101000,3610,3484,2,5,46,41,59821
41061970400,2838,2373,0,47,292,37,56319
46015973100,2550,2442,1,2,20,43,51088
04025001402,3418,2924,1,12,340,41,41217
40131050502,3451,2564,40,66,137,345,51750
06017031405,2396,2073,5,58,123,57,75433
37115010100,2895,2776,6,68,7,35,32890
35061970301,7072,1198,0,0,5636,173,31752
06065043010,5721,2045,214,147,3050,70,73351
36029015700,3491,3316,44,26,43,30,60653
26143970300,3124,2800,23,0,43,125,43309
